	value	currency	investors	url
0	20000000.0	USD	"[""Riceland"", ""Innova""]"	https://www.businesswire.com/news/home/20210330005216/en/Glanris-Raises-2-Million-to-Produce-World%E2%80%99s-First-Green-Hybrid-Water-Filtration-Media/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87oUDgbHejiywQBpbg==
1	28000000.0	USD	[]	https://www.businesswire.com/news/home/20210330005216/en/Glanris-Raises-2-Million-to-Produce-World%E2%80%99s-First-Green-Hybrid-Water-Filtration-Media/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87oUDgbHejiywQBpbg==
2	90000000.0	USD	[]	https://www.businesswire.com/news/home/20220119005301/en/24M-Technologies-Inc.-Awarded-9-Million-From-ARPA-E-for-Transformational-Energy-Technology/?feedref=JjAwJuNHiystnCoBq_hl-Q-tiwWZwkcswR1UZtV7eGe24xL9TZOyQUMS3J72mJlQ7fxFuNFTHSunhvli30RlBNXya2izy9YOgHlBiZQk2LOzmn6JePCpHPCiYGaEx4DL1Rq8pNwkf3AarimpDzQGuQ==
3	1200000000.0	USD	"[""Ultra Capital"", ""Redball Power""]"	https://www.businesswire.com/news/home/20220224005260/en/Aspen-Power-Partners-Launches-with-120-Million-in-Funding-200-MW-of-Community-and-Distributed-Solar/?feedref=JjAwJuNHiystnCoBq_hl-YKT6SDyMw5Lye4ovXwHmkqD8R-QU5o2AvY8bhI9uvWSD8DYIYv4TIC1g1u0AKcacnnViVjtb72bOP4-4nHK5idAXrgr_e1ZUbxvK6BY66Xm
4	250000.0	USD	"[""NREL"", ""Innovation and Entrepreneurship Center""]"	https://www.businesswire.com/news/home/20211201005209/en/Five-Startups-Selected-to-Participate-in-Shell-Gamechanger-Accelerator%E2%84%A2-Powered-by-NREL/?feedref=JjAwJuNHiystnCoBq_hl-YKT6SDyMw5Lye4ovXwHmkqD8R-QU5o2AvY8bhI9uvWSD8DYIYv4TIC1g1u0AKcacnnViVjtb72bOP4-4nHK5idAXrgr_e1ZUbxvK6BY66Xm
5	700000000.0	USD	[]	https://www.businesswire.com/news/home/20211201005209/en/Five-Startups-Selected-to-Participate-in-Shell-Gamechanger-Accelerator%E2%84%A2-Powered-by-NREL/?feedref=JjAwJuNHiystnCoBq_hl-YKT6SDyMw5Lye4ovXwHmkqD8R-QU5o2AvY8bhI9uvWSD8DYIYv4TIC1g1u0AKcacnnViVjtb72bOP4-4nHK5idAXrgr_e1ZUbxvK6BY66Xm
6	250000.0	USD	[]	https://www.businesswire.com/news/home/20211201005209/en/Five-Startups-Selected-to-Participate-in-Shell-Gamechanger-Accelerator%E2%84%A2-Powered-by-NREL/?feedref=JjAwJuNHiystnCoBq_hl-YKT6SDyMw5Lye4ovXwHmkqD8R-QU5o2AvY8bhI9uvWSD8DYIYv4TIC1g1u0AKcacnnViVjtb72bOP4-4nHK5idAXrgr_e1ZUbxvK6BY66Xm
7	500000000.0	USD	[]	https://www.businesswire.com/news/home/20210111005028/en/Boston-Metal-Raises-50-Million-to-Decarbonize-Steelmaking/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87oUDgbHejiywQBpbg==
8	2000000000.0	USD	"[""Mercedes-Benz""]"	https://www.globenewswire.com/news-release/2022/01/20/2369935/0/en/Factorial-Energy-Raises-200-Million-To-Accelerate-Commercialization-of-its-Novel-Solid-state-Batteries-for-Electric-Vehicles.html#:~:text=WOBURN%2C%20Mass.%2C%20Jan.,%2F%20Euronext%20Paris%3A%20STLA).
9	27000000.0	USD	"[""California""]"	https://calseed.fund/stories/calseed-awards-2-7-million-to-clean-energy-startups-in-california/#:~:text=Oakland%2C%20CA%2C%2010%20February%202021,the%20third%20annual%20Prototype%20Awards.&text=One%20of%20these%20long%2Dterm%20goals%20is%20energy%20storage
10	27000000.0	USD	"[""California""]"	https://calseed.fund/stories/calseed-awards-2-7-million-to-clean-energy-startups-in-california/#:~:text=Oakland%2C%20CA%2C%2010%20February%202021,the%20third%20annual%20Prototype%20Awards.&text=One%20of%20these%20long%2Dterm%20goals%20is%20energy%20storage
11	450000.0	unk	"[""Oakland"", ""CA"", ""The California Sustainable Energy Entrepreneur Development"", ""ReJoule"", ""Prototype Awards""]"	https://calseed.fund/stories/calseed-awards-2-7-million-to-clean-energy-startups-in-california/#:~:text=Oakland%2C%20CA%2C%2010%20February%202021,the%20third%20annual%20Prototype%20Awards.&text=One%20of%20these%20long%2Dterm%20goals%20is%20energy%20storage
12	450000.0	unk	[]	https://calseed.fund/stories/calseed-awards-2-7-million-to-clean-energy-startups-in-california/#:~:text=Oakland%2C%20CA%2C%2010%20February%202021,the%20third%20annual%20Prototype%20Awards.&text=One%20of%20these%20long%2Dterm%20goals%20is%20energy%20storage
